transaction_amount,device_type,browser,payment_method,country,num_items,time_on_site_sec,is_first_purchase,referral,hour_of_day,account_age_days,Fraud
62.18000000000001,Desktop,Safari,COD,UK,3,58.0,No,Direct,15,808,0
28.16,Desktop,Chrome,COD,US,2,75.0,Yes,Direct,10,753,0
17.57,Mobile,Chrome,Card,DE,1,101.0,No,Social,21,1017,0
61.61,Desktop,Safari,PayPal,Other,4,63.0,Yes,Search,20,1146,0
4.279999999999999,Desktop,Edge,Card,BR,7,399.0,No,Direct,4,1134,0
1.85,Desktop,Firefox,Card,IN,5,307.0,Yes,Search,23,674,0
12.5,Mobile,Chrome,PayPal,US,4,381.0,No,Search,2,1712,0
35.3,Desktop,Safari,Card,IN,3,98.0,No,Search,6,1370,0
81.59,Mobile,Firefox,Card,FR,1,257.0,Yes,Direct,17,1574,0
46.25,Mobile,Chrome,BankTransfer,IN,5,137.0,No,Search,3,224,0
59.88,Desktop,Chrome,Card,FR,7,346.0,Yes,Social,2,1161,0
42.3,Desktop,Chrome,BankTransfer,US,5,126.0,Yes,Direct,19,247,0
12.079999999999998,Mobile,Other,Card,Other,6,109.0,No,Search,23,1522,0
31.880000000000003,Desktop,Other,Card,BR,4,206.0,Yes,Search,4,181,0
284.44,Desktop,Chrome,BankTransfer,US,1,68.0,No,Search,4,107,1
49.86,Tablet,Chrome,COD,UK,7,40.0,No,Social,3,1488,0
-4.38,Mobile,Safari,Card,IN,6,122.0,No,Direct,3,189,0
3.5,Desktop,Firefox,Card,US,2,40.0,No,Direct,6,550,0
52.1,Tablet,Firefox,Card,Other,2,290.0,Yes,Direct,13,832,0
36.42,Desktop,Edge,Card,DE,7,91.0,No,Search,6,196,0
87.52,Desktop,Chrome,Card,IN,3,294.0,No,Search,16,1464,0
-0.8499999999999996,Mobile,Chrome,Card,IN,5,182.0,No,Direct,10,1058,0
170.45,Desktop,Chrome,Card,FR,1,454.0,No,Direct,5,405,1
60.8,Mobile,Other,Card,US,3,615.0,No,Search,18,1097,0
139.91,Desktop,Firefox,PayPal,US,5,218.0,Yes,Direct,18,1442,0
60.56,Desktop,Firefox,Card,US,2,40.0,Yes,Search,14,135,0
-1.6400000000000006,Mobile,Firefox,COD,UK,4,185.0,Yes,Search,12,913,0
15.94,Desktop,Safari,PayPal,IN,3,38.0,No,Direct,17,1371,0
58.46,Mobile,Other,Card,BR,1,154.0,No,Search,16,1452,0
47.31,Mobile,Safari,Card,Other,4,22.0,Yes,Social,13,191,0
4.93,Desktop,Firefox,Card,FR,6,83.0,No,Ads,19,1518,0
18.68,Desktop,Firefox,Card,BR,7,321.0,Yes,Search,9,539,0
375.78,Desktop,Chrome,Card,BR,6,599.0,No,Search,12,871,0
36.0,Desktop,Other,Card,IN,3,114.0,Yes,Social,7,706,0
46.53,Mobile,Chrome,PayPal,DE,2,345.0,No,Direct,13,1066,0
165.44,Desktop,Firefox,Card,IN,6,91.0,No,Social,8,927,0
79.89,Mobile,Chrome,Card,DE,2,105.0,Yes,Search,12,1300,0
242.45,Desktop,Safari,Card,FR,2,275.0,No,Ads,20,660,0
62.89,Desktop,Edge,PayPal,BR,6,66.0,No,Search,14,1511,0
